ObjectID,GlobalID,Bird ID,Observer,New nest?,Date Found,Expected Hatch Date,Course Name,Habitat Type,Burn Status,Bird Flushed?,Egg Count?,Number of Eggs,Date,Nest Status,Egg Count?,Number of Eggs,Date,Nest Status,Egg Count?,Number of Eggs,Date,Nest Status,Egg Count?,Number of Eggs,Date,Nest Status,Egg Count?,Number of Eggs,Date,Nest Status,Egg Count?,Number of Eggs,Date,Nest Status,Egg Count?,Number of Eggs,Date,Nest Status,Egg Count?,Number of Eggs,Date,Nest Status,Egg Count?,Number of Eggs,Date,Nest Status,Egg Count?,Number of Eggs,Date,Nest Status,Egg Count?,Number of Eggs,Date,Nest Status,Egg Count?,Number of Eggs,Date,Nest Status,Egg Count?,Number of Eggs,Date,Nest Status,Egg Count?,Number of Eggs,Date,Nest Status,Egg Count?,Number of Eggs,Date,Nest Status,Egg Count?,Number of Eggs,Date,Nest Status,Egg Count?,Number of Eggs,Date,Nest Status,Egg Count?,Number of Eggs,Date,Nest Status,Egg Count?,Number of Eggs,Date,Nest Status,Egg Count?,Number of Eggs,Date,Nest Status,Egg Count?,Number of Eggs,Date,Nest Status,Egg Count?,Number of Eggs,Date,Nest Status,Egg Count?,Number of Eggs,Date,Nest Status,Egg Count?,Number of Eggs,Date,Nest Status,Egg Count?,Number of Eggs,Fate Date,Fate Type,Suspected Cause of Fate,Number Hatched,Number Not Hatched,Comments,CreationDate,Creator,EditDate,Editor,x,y
1,339b8e84-58f2-4486-a62e-66dff62c7405,162.220_230534,Josh McLellan,yes,5/15/2023 16:00,6/6/2023 16:00,Big Bay,Upland Pine,Unburned,no,,,5/16/2023 16:00,bird on nest,,,5/17/2023 16:00,bird on nest,,,5/18/2023 16:00,bird on nest,,,5/19/2023 16:00,bird on nest,,,5/20/2023 16:00,bird on nest,,,5/21/2023 16:00,bird on nest,,,5/22/2023 16:00,bird on nest,,,5/23/2023 16:00,bird on nest,,,5/24/2023 16:00,bird on nest,,,5/25/2023 16:00,bird on nest,,,5/26/2023 16:00,bird on nest,,,5/27/2023 16:00,bird on nest,,,5/28/2023 16:00,bird on nest,,,5/29/2023 16:00,bird on nest,,,5/30/2023 16:00,bird on nest,,,5/31/2023 16:00,bird on nest,,,6/1/2023 16:00,bird on nest,,,6/2/2023 16:00,bird on nest,,,6/3/2023 16:00,bird on nest,,,6/4/2023 16:00,bird on nest,,,6/5/2023 16:00,bird on nest,,,6/6/2023 16:00,fate,,,,,,,,,,,6/6/2023 16:14,Hatched,,5,4,,5/18/2023 11:58,gamebird.crew,6/6/2023 16:14,gamebird.crew,-77.96167575,34.07088305
2,73d8350f-ca8d-4b0a-b304-658a738e3cc6,164.966_230502,Josh McLellan,yes,5/5/2023 16:00,5/27/2023 16:00,Big Bay,Upland Pine,Unburned,yes,yes,11,5/6/2023 16:00,bird off nest,yes,11,5/7/2023 16:00,bird on nest,,,5/8/2023 16:00,bird on nest,,,5/9/2023 16:00,bird on nest,,,5/10/2023 16:00,bird on nest,,,5/11/2023 16:00,bird on nest,,,5/12/2023 16:00,bird off nest,yes,3,5/13/2023 16:00,bird off nest,yes,3,5/14/2023 16:00,bird off nest,yes,3,5/15/2023 16:00,bird off nest,yes,3,5/16/2023 16:00,fate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5/16/2023 16:00,Failed,Snake,,,,5/18/2023 12:12,gamebird.crew,5/18/2023 12:12,gamebird.crew,-77.96939781,34.06733658
3,9e8062cd-4bdb-4fd7-a6b5-a4f1636a875e,162.244_230505,Josh McLellan,yes,5/5/2023 16:00,5/27/2023 16:00,Big Bay,Upland Pine,Unburned,yes,no,,5/6/2023 16:00,bird on nest,,,5/7/2023 16:00,bird on nest,,,5/8/2023 16:00,bird on nest,,,5/9/2023 16:00,bird on nest,,,5/10/2023 16:00,bird on nest,,,5/11/2023 16:00,bird on nest,,,5/12/2023 16:00,bird on nest,,,5/13/2023 16:00,bird on nest,,,5/14/2023 16:00,bird on nest,,,5/15/2023 16:00,bird on nest,,,5/16/2023 16:00,bird on nest,,,5/17/2023 16:00,bird on nest,,,5/18/2023 16:00,bird on nest,,,5/19/2023 16:00,bird off nest,yes,23,5/20/2023 16:00,bird on nest,,,5/21/2023 16:00,bird on nest,,,5/22/2023 16:00,bird on nest,,,5/23/2023 16:00,bird on nest,,,5/24/2023 16:00,bird on nest,,,5/25/2023 16:00,fate,,,,,,,,,,,,,,,,,,,5/25/2023 12:12,Hatched,,19,2,,5/18/2023 12:29,gamebird.crew,5/25/2023 12:12,gamebird.crew,-77.98049157,34.07067132
4,2c246c56-211d-4f9f-b245-8861d2fc6358,164.708_230612,Josh McLellan,yes,5/17/2023 16:00,6/8/2023 16:00,Bill Jones,Upland Pine,Unburned,yes,yes,1,5/18/2023 16:00,bird off nest,yes,1,5/19/2023 16:00,bird off nest,yes,1,5/20/2023 16:00,bird off nest,yes,1,5/21/2023 16:00,fate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5/21/2023 14:02,Failed,Abandoned,,,1 egg. Could have found nest before incubation. Nesty nearby,5/18/2023 12:35,gamebird.crew,5/21/2023 14:02,gamebird.crew,-77.99561782,34.06669844
5,8967dab2-7c61-43ed-8496-f6d39bae30e4,164.746_220915,Josh McLellan,yes,5/15/2023 16:00,6/6/2023 16:00,Big Bay,Upland Pine,Unburned,yes,yes,16,5/16/2023 16:00,bird on nest,,,5/17/2023 16:00,bird on nest,,,5/18/2023 16:00,bird on nest,,,5/19/2023 16:00,bird on nest,,,5/20/2023 16:00,bird on nest,,,5/21/2023 16:00,bird on nest,,,5/22/2023 16:00,bird on nest,,,5/23/2023 16:00,bird on nest,,,5/24/2023 16:00,bird on nest,,,5/25/2023 16:00,bird on nest,,,5/26/2023 16:00,bird on nest,,,5/27/2023 16:00,bird on nest,,,5/28/2023 16:00,bird on nest,,,5/29/2023 16:00,bird on nest,,,5/30/2023 16:00,bird on nest,,,5/31/2023 16:00,bird on nest,,,6/1/2023 16:00,bird off nest,yes,14,6/2/2023 16:00,bird on nest,,,6/3/2023 16:00,bird on nest,,,6/4/2023 16:00,bird on nest,,,6/5/2023 16:00,bird on nest,,,6/6/2023 16:00,bird off nest,no,,6/7/2023 16:00,fate,,,,,,,6/7/2023 13:45,Hatched,,3,11,,5/18/2023 12:41,gamebird.crew,6/7/2023 13:46,gamebird.crew,-77.98709891,34.06742875
6,f295fe56-eaf8-4a09-9382-267964f81510,165.132_230813,Josh McLellan,yes,5/16/2023 16:00,6/7/2023 16:00,Allen's Creek,Upland Pine,Unburned,yes,no,,5/17/2023 16:00,bird off nest,yes,17,5/18/2023 16:00,bird on nest,,,5/19/2023 16:00,bird on nest,,,5/20/2023 16:00,bird on nest,,,5/21/2023 16:00,bird on nest,,,5/22/2023 16:00,bird on nest,,,5/23/2023 16:00,bird on nest,,,5/24/2023 16:00,bird on nest,,,5/25/2023 16:00,fate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5/25/2023 13:01,Failed,Avian,,,"Avian killed adult, no eggs in nest could be snake ",5/18/2023 12:57,gamebird.crew,5/25/2023 13:02,gamebird.crew,-78.00060021,34.0469859
7,3b8f30a3-1ca7-49f8-a5c1-bccd4afd7bce,165.585_230808,Josh McLellan,yes,5/12/2023 16:00,6/3/2023 16:00,Allen's Creek,Upland Pine,Unburned,no,,,5/13/2023 16:00,bird on nest,,,5/14/2023 16:00,bird on nest,,,5/15/2023 16:00,bird on nest,,,5/16/2023 16:00,bird on nest,,,5/17/2023 16:00,bird on nest,,,5/18/2023 16:00,bird on nest,,,5/19/2023 16:00,bird on nest,,,5/20/2023 16:00,bird on nest,,,5/21/2023 16:00,bird on nest,,,5/22/2023 16:00,bird on nest,,,5/23/2023 16:00,bird on nest,,,5/24/2023 16:00,fate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5/24/2023 12:43,Failed,Snake,,,"No eggs, undisturbed",5/18/2023 13:08,gamebird.crew,5/24/2023 12:44,gamebird.crew,-78.00888452,34.04438366
8,a2d0ce45-2b98-4048-be7b-01b949c47950,162.805_231014,Josh McLellan,yes,5/10/2023 16:00,6/1/2023 16:00,Fence Cove,Planted Pine,Burned,yes,yes,18,5/11/2023 16:00,bird on nest,,,5/12/2023 16:00,bird on nest,,,5/13/2023 16:00,bird on nest,,,5/14/2023 16:00,bird off nest,yes,16,5/15/2023 16:00,bird on nest,,,5/16/2023 16:00,bird on nest,,,5/17/2023 16:00,bird on nest,,,5/18/2023 16:00,bird on nest,,,5/19/2023 16:00,bird on nest,,,5/20/2023 16:00,bird on nest,,,5/21/2023 16:00,bird on nest,,,5/22/2023 16:00,bird on nest,,,5/23/2023 16:00,bird on nest,,,5/24/2023 16:00,bird on nest,,,5/25/2023 16:00,fate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5/25/2023 12:49,Failed,Mammal,,,All eggs are gone ,5/18/2023 13:20,gamebird.crew,5/25/2023 12:50,gamebird.crew,-78.0234338,34.0388694
9,aa15c877-3adc-4a16-8e22-9bc86c6b847e,163.822_231021,Josh McLellan,yes,5/16/2023 16:00,6/7/2023 16:00,Fence Cove,Planted Pine,Unburned,yes,yes,16,5/17/2023 16:00,bird on nest,,,5/18/2023 16:00,bird on nest,,,5/19/2023 16:00,bird on nest,,,5/20/2023 16:00,bird off nest,yes,15,5/21/2023 16:00,bird on nest,,,5/22/2023 16:00,bird on nest,,,5/23/2023 16:00,bird on nest,,,5/24/2023 16:00,bird on nest,,,5/25/2023 16:00,bird on nest,,,5/26/2023 16:00,bird on nest,,,5/27/2023 16:00,bird on nest,,,5/28/2023 16:00,bird on nest,,,5/29/2023 16:00,bird on nest,,,5/30/2023 16:00,bird on nest,,,5/31/2023 16:00,bird on nest,,,6/1/2023 16:00,bird off nest,yes,15,6/2/2023 16:00,bird on nest,,,6/3/2023 16:00,bird on nest,,,6/4/2023 16:00,bird on nest,,,6/5/2023 16:00,bird off nest,yes,15,6/6/2023 16:00,bird on nest,,,6/7/2023 16:00,bird on nest,,,6/8/2023 16:00,bird on nest,,,6/9/2023 16:00,fate,,,6/9/2023 13:37,Hatched,,15,0,,5/18/2023 13:27,gamebird.crew,6/9/2023 13:37,gamebird.crew,-78.02580833,34.03623603
10,9b8a82c6-c13c-4b7b-ae96-cf59951dc1bf,162.512_231015,Josh McLellan,yes,5/17/2023 16:00,6/8/2023 16:00,Fence Cove,Grass Field,Unburned,no,,,5/18/2023 16:00,bird off nest,yes,23,5/19/2023 16:00,bird on nest,,,5/20/2023 16:00,bird on nest,,,5/21/2023 16:00,bird on nest,,,5/22/2023 16:00,bird on nest,,,5/23/2023 16:00,bird on nest,,,5/24/2023 16:00,bird on nest,,,5/25/2023 16:00,bird on nest,,,5/26/2023 16:00,bird on nest,,,5/27/2023 16:00,bird on nest,,,5/28/2023 16:00,bird on nest,,,5/29/2023 16:00,bird on nest,,,5/30/2023 16:00,bird off nest,yes,23,5/31/2023 16:00,bird on nest,,,6/1/2023 16:00,bird on nest,,,6/2/2023 16:00,bird on nest,,,6/3/2023 16:00,fate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/3/2023 12:56,Failed,Mammal,,,All eggs are gone except for on segment of a shell ,5/18/2023 13:32,gamebird.crew,6/3/2023 12:57,gamebird.crew,-78.02806272,34.03754064
