Bird.ID,Date Found,Fate Date 
163.721_220097,5/19/2022,6/2/2022
162.995_220360,5/30/2022,6/19/2022
163.967_220075,5/23/2022,6/8/2022
163.552_220074,5/26/2022,6/6/2022
162.618_220310,5/26/2022,5/30/2022
163.390_220312,5/24/2022,6/10/2022
164.218_220516,5/17/2022,6/10/2022
164.197_220098,5/26/2022,6/13/2022
162.647_220259,5/26/2022,6/15/2022
165.506_214748,5/20/2022,6/2/2022
162.591_214738,5/30/2022,6/10/2022
162.796_220227,5/30/2022,6/7/2022
165.221_214758,5/23/2022,6/6/2022
164.173_214760,6/9/2022,6/14/2022
165.513_204542,5/23/2022,6/15/2022
164.003_220272,5/26/2022,6/9/2022
164.703_214782,5/25/2022,5/29/2022
163.013_220337,5/16/2022,5/20/2022
163.896_220363,5/26/2022,6/16/2022
164.715_214705,5/26/2022,5/30/2022
162.220_220203,5/26/2022,6/12/2022
163.661_214735,5/28/2022,6/14/2022
162.085_220001,5/26/2022,5/29/2022
163.030_220036,5/25/2022,6/18/2022
162.112_220042,5/25/2022,6/13/2022
162.062_220040,5/30/2022,6/8/2022
162.077_220022,5/30/2022,6/20/2022
162.257_220031,5/23/2022,6/13/2022
162.273_220029,5/18/2022,5/23/2022
162.211_214678,5/11/2022,6/4/2022
163.319_220201,5/23/2022,5/29/2022
163.399_220510,5/21/2022,5/22/2022
163.508_220396,5/17/2022,5/30/2022
163.956_220385,5/17/2022,5/22/2022
164.429_220503,5/21/2022,6/6/2022
163.183_220509,5/23/2022,6/3/2022
164.072_220506,5/17/2022,6/10/2022
162.685_220392,5/21/2022,6/4/2022
163.291_220395,5/17/2022,6/10/2022
162.841_220239,6/3/2022,6/6/2022
162.733_220263,6/5/2022,6/17/2022
165.247_194876,6/3/2022,6/12/2022
164.043_220326,6/1/2022,6/24/2022
165.753_214773,5/31/2022,6/8/2022
164.436_205016,6/1/2022,6/24/2022
164.683_214737,5/31/2022,6/16/2022
164.183_220277,5/31/2022,6/9/2022
164.556_220415,6/3/2022,6/25/2022
162.869_220599,6/3/2022,6/20/2022
163.930_220312,5/24/2022,6/10/2022
163.040_220266,6/10/2022,7/1/2022
163.166_220082,6/8/2022,6/25/2022
